id,slug,startDate,lastTradePrice
620000,nhl-ana-la-2025-10-04,2025-10-02T16:31:28.799635Z,1.0
620001,nhl-col-dal-2025-10-04,2025-10-02T16:31:28.542725Z,1.0
620006,nhl-sj-uta-2025-10-04,2025-10-02T16:31:32.594775Z,0.2
620008,nhl-chi-fla-2025-10-07,2025-10-02T16:31:34.55351Z,1.0
620011,nhl-mon-tor-2025-10-08,2025-10-02T16:31:38.510959Z,1.0
620012,nhl-bos-wsh-2025-10-08,2025-10-02T16:31:38.822Z,1.0
620951,nhl-nyi-pit-2025-10-09,2025-10-03T16:31:21.009814Z,1.0
605071,nhl-det-pit-2025-09-26,2025-09-20T06:23:04.474341Z,1.0
605072,nhl-car-tb-2025-09-26,2025-09-20T06:23:04.21815Z,1.0
605073,nhl-nj-nyi-2025-09-26,2025-09-20T06:23:06.540056Z,1.0
605076,nhl-sea-van-2025-09-26,2025-09-20T06:23:10.498461Z,1.0
