kalshi_ticker,poly_slug,date,poly_result,kalshi_result,poly_price,matching
KXNHLGAME-25NOV22EDMFLA-EDM,nhl-edm-fla-2025-11-22,2025-10-26T15:31:19.474507Z,yes,yes,1.0,1
KXNHLGAME-25NOV22CBJDET-DET,nhl-cbj-det-2025-11-22,2025-10-26T15:31:16.513489Z,yes,yes,1.0,1
KXNHLGAME-25NOV21CARWPG-CAR,nhl-car-wpg-2025-11-21,2025-10-25T15:31:30.063577Z,yes,yes,1.0,1
KXNHLGAME-25NOV21MINPIT-MIN,nhl-min-pit-2025-11-21,2025-10-25T15:31:27.701744Z,yes,yes,1.0,1
KXNHLGAME-25NOV20DALVAN-DAL,nhl-dal-van-2025-11-20,2025-10-24T15:31:23.946919Z,yes,yes,1.0,1
KXNHLGAME-25NOV20EDMTB-TB,nhl-edm-tb-2025-11-20,2025-10-24T15:31:19.48033Z,yes,yes,1.0,1
KXNHLGAME-25NOV20CBJTOR-CBJ,nhl-cbj-tor-2025-11-20,2025-10-24T15:31:21.217615Z,yes,yes,1.0,1
KXNHLGAME-25NOV19CARMIN-MIN,nhl-car-min-2025-11-19,2025-10-23T15:31:09.61972Z,yes,yes,1.0,1
KXNHLGAME-25NOV19EDMWSH-WSH,nhl-edm-wsh-2025-11-19,2025-10-23T15:31:11.566687Z,yes,yes,1.0,1
KXNHLGAME-25NOV18CBJWPG-WPG,nhl-cbj-wpg-2025-11-18,2025-10-22T15:31:21.57Z,yes,yes,1.0,1
